Product Name,Original Price,Sales Price,Ratings,Timestamp
Colby Small Crackled Metallic Leather Convertible Clutch,,$278,,2024-11-10 21:31:02
Colby Small Leather Convertible Clutch,,$278,3.6,2024-11-10 21:31:02
Colby Small Crackled Metallic Leather Convertible Clutch,,$278,5,2024-11-10 21:31:02
Jet Set Medium Metallic Crocodile Embossed Leather Crossbody Bag,,$258,5,2024-11-10 21:31:02
Jet Set Medium Metallic Crocodile Embossed Leather Crossbody Bag,,$258,,2024-11-10 21:31:02
Limited-Edition Nolita Small Rhinestone Mesh Hobo Shoulder Bag,,$658,,2024-11-10 21:31:02
Limited-Edition Nolita Small Metallic Rhinestone Mesh Hobo Shoulder Bag,,$658,,2024-11-10 21:31:02
Grayson Medium Metallic Empire Monogram Satchel,,$298,3.6,2024-11-10 21:31:02
Empire Medium Metallic Chain-Link Pochette,,$198,,2024-11-10 21:31:02
Grayson Small Metallic Empire Monogram Duffel Crossbody Bag,,$258,,2024-11-10 21:31:02
Gigi Small Metallic Empire Monogram Messenger Bag,,$278,,2024-11-10 21:31:02
Small Metallic Empire Monogram Travel Pouch,,$78,3.9,2024-11-10 21:31:02
Empire Small Metallic Card Case,,$98,,2024-11-10 21:31:02
Scarlett Medium Signature Logo Satchel,,$298,5,2024-11-10 21:31:02
Maeve Large Logo Crossbody Bag,,$258,5,2024-11-10 21:31:02
Nolita Large Pebbled Leather Hobo Shoulder Bag,,$398,3.4,2024-11-10 21:31:02
Nolita Large Nubuck Hobo Shoulder Bag,,$398,5,2024-11-10 21:31:02
Nolita Large Nubuck Hobo Shoulder Bag,,$398,5,2024-11-10 21:31:02
Nolita Small Pebbled Leather Hobo Shoulder Bag,,$258,4.4,2024-11-10 21:31:02
Taryn Large Leather Tote Bag,,$298,4,2024-11-10 21:31:02
Taryn Large Signature Logo and Leather Tote Bag,,$298,5,2024-11-10 21:31:02
Taryn Large Leather Tote Bag,,$298,3.8,2024-11-10 21:31:02
Colby Medium Leather Shoulder Bag,,$298,5,2024-11-10 21:31:02
Colby Medium Suede Shoulder Bag,,$358,5,2024-11-10 21:31:02
Colby Medium Leather Shoulder Bag,,$298,5,2024-11-10 21:31:02
Colby Medium Crackled Leather and Suede Shoulder Bag,,$298,4.9,2024-11-10 21:31:02
Jet Set Small Logo Print Woven Smartphone Crossbody Bag,,$128,4.2,2024-11-10 21:31:02
Jet Set Small Nylon Gabardine Smartphone Crossbody Bag,,$128,4.1,2024-11-10 21:31:02
Jet Set Small Logo Print Woven Smartphone Crossbody Bag,,$128,5,2024-11-10 21:31:02
Jet Set Small Logo Smartphone Convertible Crossbody Bag,,$158,4.9,2024-11-10 21:31:02
Lillie Large Pebbled Leather Shoulder Bag,,$458,4.2,2024-11-10 21:31:02
Lillie Large Signature Logo Shoulder Bag,,$458,3.2,2024-11-10 21:31:02
Bedford Travel Extra-Large Signature Logo Stripe Weekender Bag,,$398,3.4,2024-11-10 21:31:02
Prescott Large Signature Logo Print Woven Backpack,,$278,5,2024-11-10 21:31:02
Logo Suitcase,,$498,5,2024-11-10 21:31:02
Empire Signature Logo Suitcase,$498,$311.25,5,2024-11-10 21:31:02
Marilyn Medium Saffiano Leather Satchel,,$298,4.4,2024-11-10 21:31:02
Marilyn Medium Logo Satchel,,$298,3.2,2024-11-10 21:31:02
Marilyn Medium Two-Tone Saffiano Leather Satchel,,$298,3.8,2024-11-10 21:31:02
Marilyn Medium Saffiano Leather Satchel,,$298,4.2,2024-11-10 21:31:02
Marilyn Medium Saffiano Leather Tote Bag,,$228,5,2024-11-10 21:31:02
Marilyn Medium Logo Tote Bag,,$228,4.3,2024-11-10 21:31:02
Marilyn Medium Saffiano Leather Tote Bag,,$228,5,2024-11-10 21:31:02
Marilyn Medium Logo Tote Bag,,$228,4.5,2024-11-10 21:31:02
Luisa Large Signature Logo Messenger Bag,$298,$99,5,2024-11-10 21:31:02
Luisa Large Pebbled Leather Messenger Bag,$298,$129,5,2024-11-10 21:31:02
Astor Large Studded Leather Tote Bag,$498,$249,5,2024-11-10 21:31:02
Logo Stripe Continental Wristlet,$178,$79,5,2024-11-10 21:31:02
Susan Medium Quilted Leather Satchel,$398,$204,4,2024-11-10 21:31:02
Luisa Small Pebbled Leather Satchel,$258,$99,3.8,2024-11-10 21:31:02
Cara Small Nylon Backpack,$228,$79,4.4,2024-11-10 21:31:02
Greenwich Small Color-Block Logo and Saffiano Leather Crossbody Bag,,$149,5,2024-11-10 21:31:02
Cara Large Nylon Tote Bag,$298,$89,4.8,2024-11-10 21:31:02
Scarlett Medium Crocodile Embossed Patent Leather Satchel,$358,$189,5,2024-11-10 21:31:02
Rhea Medium Color-Block Logo Backpack,$298,$203.75,5,2024-11-10 21:31:02
Mila Medium Leather Messenger Bag,$328,$204,3.4,2024-11-10 21:31:02
Luisa Large Signature Logo Messenger Bag,$298,$129,3.7,2024-11-10 21:31:02
Slater Medium Signature Logo Sling Pack,$298,$165,5,2024-11-10 21:31:02
Scarlett Extra-Small Crocodile Embossed Leather Crossbody Bag,,$129,4.2,2024-11-10 21:31:02
Voyager Medium Logo Tote Bag,$298,$203.75,3.7,2024-11-10 21:31:02
Empire Medium Chain-Link Pochette,$198,$123,3.8,2024-11-10 21:31:02
Luisa Small Signature Logo Satchel,$258,$99,4.8,2024-11-10 21:31:02
Marilyn Medium Snake Embossed Leather Satchel,$358,$179,4.1,2024-11-10 21:31:02
Greenwich Small Saffiano Leather Crossbody Bag,,$119.25,3.9,2024-11-10 21:31:02
Jet Set Charm Small Logo Pochette,$198,$127,4.7,2024-11-10 21:31:02
Astor Large Studded Leather Tote Bag,$498,$229,5,2024-11-10 21:31:02
Astor Large Studded Leather Shoulder Bag,$328,$159,4.8,2024-11-10 21:31:02
Marilyn Small Color-Block Saffiano Leather Crossbody Bag,$258,$129,3.5,2024-11-10 21:31:02
Voyager Medium Crossgrain Leather Tote Bag,$298,$203.75,5,2024-11-10 21:31:02
Mila Small Leather Shoulder Bag,$258,$165,4.4,2024-11-10 21:31:02
Jet Set Large Signature Logo Print Woven Crossbody Bag,,$158,4.8,2024-11-10 21:31:02
Small Quilted Leather Wallet,,$29,4,2024-11-10 21:31:02
Susan Medium Quilted Leather Tote Bag,$458,$255,4.6,2024-11-10 21:31:02
Jet Set Medium Pebbled Leather Crossbody Bag,,$149,5,2024-11-10 21:31:02
Ginny Leather Crossbody Bag,,$89,4.6,2024-11-10 21:31:02
Astor Large Studded Leather Tote Bag,,$199,5,2024-11-10 21:31:02
Adele Leather Smartphone Wallet,,$79,4.2,2024-11-10 21:31:02
Colby Extra-Small Empire Monogram Shoulder Bag,$198,$123,,2024-11-10 21:31:02
Rhea Medium Color-Block Logo Backpack,$298,$203.75,5,2024-11-10 21:31:02
Marilyn Small Snake Embossed Leather Crossbody Bag,$298,$149,4.6,2024-11-10 21:31:02
Jet Set Travel Large Camouflage Print Calf Hair Continental Wallet,$198,$88.80,5,2024-11-10 21:31:02
Slater Medium Pebbled Leather Sling Pack,$298,$165,5,2024-11-10 21:31:02
Voyager Small Color-Block Logo Tote Bag,$258,$199,3.6,2024-11-10 21:31:02
Jet Set Large Signature Logo Print Woven Crossbody Bag,,$158,4.8,2024-11-10 21:31:02
Luisa Large Signature Logo Messenger Bag,$298,$129,3.9,2024-11-10 21:31:02
Jordi Small Leather Tote Bag,,$298,5,2024-11-10 21:31:02
Luisa Small Signature Satchel,$258,$99,,2024-11-10 21:31:02
